Model,MSO54
Channel,CH1
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,62500
Zero Index,31249.53125000
Vertical Units,V
,
ANALOG_Thumbnail,

TIME,CH1
-4.89688500e-06,0.00000000e+00
-4.89672500e-06,0.00000000e+00
-4.89656500e-06,0.00000000e+00
-4.89640500e-06,8.00000000e-04
-4.89624500e-06,8.00000000e-04
-4.89608500e-06,0.00000000e+00
-4.89592500e-06,0.00000000e+00
-4.89576500e-06,0.00000000e+00
-4.89560500e-06,0.00000000e+00
-4.89544500e-06,0.00000000e+00
-4.89528500e-06,8.00000000e-04
-4.89512500e-06,8.00000000e-04
-4.89496500e-06,8.00000000e-04
-4.89480500e-06,8.00000000e-04
-4.89464500e-06,8.00000000e-04
-4.89448500e-06,0.00000000e+00
-4.89432500e-06,0.00000000e+00
-4.89416500e-06,0.00000000e+00
-4.89400500e-06,8.00000000e-04
-4.89384500e-06,8.00000000e-04
-4.89368500e-06,8.00000000e-04
-4.89352500e-06,8.00000000e-04
-4.89336500e-06,0.00000000e+00
-4.89320500e-06,0.00000000e+00
-4.89304500e-06,8.00000000e-04
-4.89288500e-06,8.00000000e-04
-4.89272500e-06,8.00000000e-04
-4.89256500e-06,0.00000000e+00
-4.89240500e-06,0.00000000e+00
-4.89224500e-06,-8.00000000e-04
-4.89208500e-06,-8.00000000e-04
-4.89192500e-06,0.00000000e+00
-4.89176500e-06,0.00000000e+00
-4.89160500e-06,0.00000000e+00
-4.89144500e-06,0.00000000e+00
-4.89128500e-06,0.00000000e+00
